# Structure factor computed by LiquidLib
# k                 S(k)
2.794463038444519e-01        1.632881350815296e-02
5.588926076889038e-01        1.658887788653374e-02
8.383389115333557e-01        1.252222154289484e-02
1.117785215377808e+00        2.057930268347263e-02
1.397231578826904e+00        2.068869024515152e-02
1.676677823066711e+00        3.154576942324638e-02
1.956124067306519e+00        5.105058848857880e-02
2.235570430755615e+00        9.013197571039200e-02
2.515016794204712e+00        1.507155895233154e-01
2.794463157653809e+00        3.121789991855621e-01
3.073909282684326e+00        8.881200551986694e-01
3.353355646133423e+00        2.938440084457397e+00
3.632802009582520e+00        2.302634477615356e+00
3.912248134613037e+00        1.093947052955627e+00
4.191694736480713e+00        7.097890973091125e-01
4.471140861511230e+00        5.889103412628174e-01
4.750586986541748e+00        5.700725317001343e-01
5.030033588409424e+00        6.216799020767212e-01
5.309479713439941e+00        7.317042350769043e-01
5.588926315307617e+00        9.177528023719788e-01
5.868372440338135e+00        1.132541537284851e+00
6.147818565368652e+00        1.279721140861511e+00
6.427265167236328e+00        1.287545204162598e+00
6.706711292266846e+00        1.234336733818054e+00
6.986157417297363e+00        1.085575699806213e+00
7.265604019165039e+00        9.198104143142700e-01
7.545050144195557e+00        8.275979757308960e-01
7.824496269226074e+00        8.113417625427246e-01
8.103942871093750e+00        8.600460886955261e-01
8.383389472961426e+00        9.306671023368835e-01
8.662835121154785e+00        1.013085126876831e+00
8.942281723022461e+00        1.101320505142212e+00
9.221728324890137e+00        1.123983860015869e+00
9.501173973083496e+00        1.101802587509155e+00
9.780620574951172e+00        1.053426623344421e+00
1.006006717681885e+01        9.922829866409302e-01
1.033951282501221e+01        9.646629095077515e-01
1.061895942687988e+01        9.345733523368835e-01
1.089840602874756e+01        9.368966221809387e-01
1.117785263061523e+01        9.555299282073975e-01
1.145729827880859e+01        9.813314676284790e-01
1.173674488067627e+01        1.018520355224609e+00
1.201619148254395e+01        1.039455294609070e+00
1.229563713073730e+01        1.041170477867126e+00
1.257508373260498e+01        1.031674742698669e+00
1.285453033447266e+01        1.010025978088379e+00
1.313397598266602e+01        9.954614639282227e-01
1.341342258453369e+01        9.808090925216675e-01
1.369286918640137e+01        9.730806350708008e-01
1.397231483459473e+01        9.749005436897278e-01
1.425176143646240e+01        9.872668385505676e-01
1.453120803833008e+01        9.927838444709778e-01
1.481065368652344e+01        1.008384943008423e+00
1.509010028839111e+01        1.011419057846069e+00
1.536954689025879e+01        1.016113042831421e+00
1.564899253845215e+01        1.021514058113098e+00
1.592843914031982e+01        1.002277374267578e+00
1.620788574218750e+01        1.000438451766968e+00
1.648733139038086e+01        9.907176494598389e-01
1.676677894592285e+01        9.962772130966187e-01
1.704622459411621e+01        9.931664466857910e-01
1.732567024230957e+01        1.001041412353516e+00
1.760511779785156e+01        9.991363883018494e-01
1.788456344604492e+01        1.023941636085510e+00
1.816400909423828e+01        1.001364231109619e+00
1.844345664978027e+01        1.004333138465881e+00
1.872290229797363e+01        1.000196695327759e+00
1.900234794616699e+01        9.861046671867371e-01
1.928179550170898e+01        9.997962713241577e-01
1.956124114990234e+01        9.961605072021484e-01
1.984068679809570e+01        9.976980686187744e-01
