# Structure factor computed by LiquidLib
# k                 S(k)
2.215403616428375e-01        2.249432913959026e-02
4.430807232856750e-01        2.246278151869774e-02
6.646211147308350e-01        1.295715570449829e-02
8.861614465713501e-01        2.412789501249790e-02
1.107701778411865e+00        1.660483703017235e-02
1.329242229461670e+00        2.052783966064453e-02
1.550782561302185e+00        2.635999768972397e-02
1.772322893142700e+00        4.909402132034302e-02
1.993863224983215e+00        5.579986423254013e-02
2.215403556823730e+00        8.515255153179169e-02
2.436944007873535e+00        1.289864033460617e-01
2.658484458923340e+00        2.202268391847610e-01
2.880024671554565e+00        4.211394488811493e-01
3.101565122604370e+00        1.022229433059692e+00
3.323105335235596e+00        2.729410171508789e+00
3.544645786285400e+00        2.955841541290283e+00
3.766186237335205e+00        1.533467769622803e+00
3.987726449966431e+00        9.379873275756836e-01
4.209266662597656e+00        6.955533623695374e-01
4.430807113647461e+00        5.999512076377869e-01
4.652347564697266e+00        5.656160712242126e-01
4.873888015747070e+00        5.915010571479797e-01
5.095428466796875e+00        6.450848579406738e-01
5.316968917846680e+00        7.472091913223267e-01
5.538508892059326e+00        8.859190940856934e-01
5.760049343109131e+00        1.058304786682129e+00
5.981589794158936e+00        1.208797931671143e+00
6.203130245208740e+00        1.274241566658020e+00
6.424670696258545e+00        1.292520880699158e+00
6.646210670471191e+00        1.248844861984253e+00
6.867751121520996e+00        1.164487123489380e+00
7.089291572570801e+00        1.058318138122559e+00
7.310832023620605e+00        8.943263292312622e-01
7.532372474670410e+00        8.268569707870483e-01
7.753912448883057e+00        8.093597888946533e-01
7.975452899932861e+00        8.298776745796204e-01
8.196993827819824e+00        8.861076831817627e-01
8.418533325195312e+00        9.393654465675354e-01
8.640073776245117e+00        1.012605547904968e+00
8.861614227294922e+00        1.055722951889038e+00
9.083154678344727e+00        1.107340693473816e+00
9.304695129394531e+00        1.119537472724915e+00
9.526235580444336e+00        1.098243832588196e+00
9.747776031494141e+00        1.054331183433533e+00
9.969316482543945e+00        1.014731287956238e+00
1.019085693359375e+01        9.746134281158447e-01
1.041239738464355e+01        9.542080760002136e-01
1.063393783569336e+01        9.545938372612000e-01
1.085547733306885e+01        9.354977011680603e-01
1.107701778411865e+01        9.466925859451294e-01
1.129855823516846e+01        9.668803811073303e-01
1.152009868621826e+01        9.988903999328613e-01
1.174163913726807e+01        1.019315004348755e+00
1.196317958831787e+01        1.041351318359375e+00
1.218472003936768e+01        1.042899966239929e+00
1.240626049041748e+01        1.045782327651978e+00
1.262780094146729e+01        1.026752710342407e+00
1.284934139251709e+01        1.010901451110840e+00
1.307088088989258e+01        9.987607598304749e-01
1.329242134094238e+01        9.908803105354309e-01
1.351396179199219e+01        9.787862300872803e-01
1.373550224304199e+01        9.753628969192505e-01
1.395704269409180e+01        9.802646636962891e-01
1.417858314514160e+01        9.997976422309875e-01
1.440012359619141e+01        9.933451414108276e-01
1.462166404724121e+01        1.002845644950867e+00
1.484320449829102e+01        1.006807327270508e+00
1.506474494934082e+01        1.009119391441345e+00
1.528628540039062e+01        1.012336850166321e+00
1.550782489776611e+01        1.011637449264526e+00
1.572936534881592e+01        1.007999062538147e+00
1.595090579986572e+01        1.002143502235413e+00
1.617244720458984e+01        9.971122741699219e-01
1.639398765563965e+01        9.969341754913330e-01
1.661552619934082e+01        9.912958145141602e-01
1.683706665039062e+01        9.874527454376221e-01
1.705860710144043e+01        9.958005547523499e-01
1.728014755249023e+01        9.987945556640625e-01
1.750168800354004e+01        1.000421524047852e+00
1.772322845458984e+01        1.005368232727051e+00
1.794476890563965e+01        1.003833532333374e+00
1.816630935668945e+01        1.007100105285645e+00
1.838784980773926e+01        1.003524065017700e+00
1.860939025878906e+01        1.006209135055542e+00
1.883093070983887e+01        1.000608205795288e+00
1.905247116088867e+01        1.003816008567810e+00
1.927401161193848e+01        9.972875118255615e-01
1.949555206298828e+01        1.004902124404907e+00
1.971709251403809e+01        9.993913173675537e-01
1.993863296508789e+01        9.999265074729919e-01
