# Structure factor computed by LiquidLib
# k                 S(k)
2.226590812206268e-01        2.139815688133240e-02
4.453181624412537e-01        2.292680367827415e-02
6.679772138595581e-01        1.321911066770554e-02
8.906363248825073e-01        2.527513355016708e-02
1.113295435905457e+00        1.778497919440269e-02
1.335954427719116e+00        2.201452478766441e-02
1.558613538742065e+00        2.691943384706974e-02
1.781272649765015e+00        4.757794737815857e-02
2.003931760787964e+00        4.687510058283806e-02
2.226590871810913e+00        7.211314886808395e-02
2.449249982833862e+00        1.145902797579765e-01
2.671908855438232e+00        2.060124874114990e-01
2.894567966461182e+00        3.960130810737610e-01
3.117227077484131e+00        9.678260684013367e-01
3.339886188507080e+00        3.204114198684692e+00
3.562545299530029e+00        2.779475450515747e+00
3.785204410552979e+00        1.296954393386841e+00
4.007863521575928e+00        8.798863291740417e-01
4.230522632598877e+00        6.841480731964111e-01
4.453181743621826e+00        5.938180088996887e-01
4.675840854644775e+00        5.763549208641052e-01
4.898499965667725e+00        6.186206936836243e-01
5.121159076690674e+00        6.965126991271973e-01
5.343817710876465e+00        7.941274046897888e-01
5.566476821899414e+00        9.329187273979187e-01
5.789135932922363e+00        1.112355113029480e+00
6.011795043945312e+00        1.208202600479126e+00
6.234454154968262e+00        1.221183896064758e+00
6.457113265991211e+00        1.214060425758362e+00
6.679772377014160e+00        1.212670683860779e+00
6.902431488037109e+00        1.122684001922607e+00
7.125090599060059e+00        1.013533949851990e+00
7.347749710083008e+00        9.131579995155334e-01
7.570408821105957e+00        8.610402345657349e-01
7.793067932128906e+00        8.557729721069336e-01
8.015727043151855e+00        8.722963929176331e-01
8.238386154174805e+00        9.224448204040527e-01
8.461045265197754e+00        9.611293077468872e-01
8.683704376220703e+00        1.013118624687195e+00
8.906363487243652e+00        1.059424757957458e+00
9.129022598266602e+00        1.068666815757751e+00
9.351681709289551e+00        1.078614115715027e+00
9.574340820312500e+00        1.065222978591919e+00
9.796999931335449e+00        1.054037690162659e+00
1.001965904235840e+01        1.017787814140320e+00
1.024231815338135e+01        9.936732649803162e-01
1.046497726440430e+01        9.720865488052368e-01
1.068763542175293e+01        9.531227946281433e-01
1.091029453277588e+01        9.597243666648865e-01
1.113295364379883e+01        9.737772941589355e-01
1.135561275482178e+01        9.763329625129700e-01
1.157827186584473e+01        9.863668084144592e-01
1.180093097686768e+01        1.003827214241028e+00
1.202359008789062e+01        1.012855291366577e+00
1.224624919891357e+01        1.022382736206055e+00
1.246890830993652e+01        1.028981208801270e+00
1.269156742095947e+01        1.021402239799500e+00
1.291422653198242e+01        1.012656569480896e+00
1.313688564300537e+01        1.002614736557007e+00
1.335954475402832e+01        1.002906799316406e+00
1.358220386505127e+01        9.910493493080139e-01
1.380486297607422e+01        9.894556403160095e-01
1.402752208709717e+01        9.865878820419312e-01
1.425018119812012e+01        9.922828078269958e-01
1.447284030914307e+01        9.952396154403687e-01
1.469549942016602e+01        9.946303367614746e-01
1.491815853118896e+01        9.975903630256653e-01
1.514081764221191e+01        9.950776100158691e-01
1.536347675323486e+01        1.002912163734436e+00
1.558613586425781e+01        1.005875468254089e+00
1.580879497528076e+01        1.007038593292236e+00
1.603145408630371e+01        1.004131555557251e+00
1.625411224365234e+01        9.995573163032532e-01
1.647677230834961e+01        1.001424431800842e+00
1.669943046569824e+01        9.942982792854309e-01
1.692209053039551e+01        9.959285855293274e-01
1.714474868774414e+01        9.966468214988708e-01
1.736740875244141e+01        9.988672733306885e-01
1.759006690979004e+01        9.962779283523560e-01
1.781272697448730e+01        9.980528950691223e-01
1.803538513183594e+01        9.979410171508789e-01
1.825804519653320e+01        9.991769790649414e-01
1.848070335388184e+01        1.002509713172913e+00
1.870336341857910e+01        1.000906586647034e+00
1.892602157592773e+01        1.005105495452881e+00
1.914868164062500e+01        1.007360816001892e+00
1.937133979797363e+01        1.000606298446655e+00
1.959399986267090e+01        9.993554353713989e-01
1.981665802001953e+01        9.983889460563660e-01
