# Structure factor computed by LiquidLib
# k                 S(k)
2.091265916824341e-01        3.393489867448807e-02
4.182531833648682e-01        4.093705490231514e-02
6.273797750473022e-01        8.384194225072861e-03
8.365063667297363e-01        1.819377206265926e-02
1.045632958412170e+00        7.071459200233221e-03
1.254759550094604e+00        8.304012008011341e-03
1.463886141777039e+00        8.368077687919140e-03
1.673012733459473e+00        1.582535542547703e-02
1.882139325141907e+00        1.280150189995766e-02
2.091265916824341e+00        2.050816826522350e-02
2.300392627716064e+00        2.775528468191624e-02
2.509519100189209e+00        4.900037124752998e-02
2.718645572662354e+00        9.889730066061020e-02
2.927772283554077e+00        7.994362115859985e-01
3.136898994445801e+00        6.722916364669800e-01
3.346025466918945e+00        1.726763343811035e+01
3.555151939392090e+00        3.835082948207855e-01
3.764278650283813e+00        2.765741944313049e-01
3.973405361175537e+00        4.345579445362091e-01
4.182531833648682e+00        1.504051387310028e-01
4.391658306121826e+00        1.127554476261139e-01
4.600785255432129e+00        1.642246693372726e-01
4.809911727905273e+00        1.648063063621521e-01
5.019038200378418e+00        3.790595829486847e-01
5.228164672851562e+00        3.306277990341187e+00
5.437291145324707e+00        3.415312170982361e-01
5.646418094635010e+00        6.158256530761719e-01
5.855544567108154e+00        4.488341808319092e-01
6.064671039581299e+00        1.898088693618774e+00
6.273797988891602e+00        4.821286499500275e-01
6.482924461364746e+00        6.014851331710815e-01
6.692050933837891e+00        7.709970474243164e-01
6.901177406311035e+00        3.317140638828278e-01
7.110303878784180e+00        3.718226253986359e-01
7.319430828094482e+00        8.534035682678223e-01
7.528557300567627e+00        3.458589613437653e-01
7.737683773040771e+00        6.627919077873230e-01
7.946810722351074e+00        1.670392036437988e+00
8.155937194824219e+00        2.219865798950195e+00
8.365063667297363e+00        1.035644173622131e+00
8.574190139770508e+00        7.542755007743835e-01
8.783316612243652e+00        8.300450444221497e-01
8.992443084716797e+00        8.889063596725464e-01
9.201570510864258e+00        9.041574597358704e-01
9.410696983337402e+00        7.108746170997620e-01
9.619823455810547e+00        5.259462356567383e+00
9.828949928283691e+00        5.687007308006287e-01
1.003807640075684e+01        5.479038953781128e-01
1.024720287322998e+01        6.290456056594849e-01
1.045632934570312e+01        9.944703578948975e-01
1.066545581817627e+01        9.303585886955261e-01
1.087458229064941e+01        1.415874481201172e+00
1.108370971679688e+01        1.422469496726990e+00
1.129283618927002e+01        7.670923471450806e-01
1.150196266174316e+01        9.014164805412292e-01
1.171108913421631e+01        7.885924577713013e-01
1.192021560668945e+01        9.884565472602844e-01
1.212934207916260e+01        8.882751464843750e-01
1.233846855163574e+01        7.385818958282471e-01
1.254759597778320e+01        6.951639056205750e-01
1.275672245025635e+01        8.812111616134644e-01
1.296584892272949e+01        1.071970939636230e+00
1.317497539520264e+01        1.189608335494995e+00
1.338410186767578e+01        8.901915550231934e-01
1.359322834014893e+01        1.033827185630798e+00
1.380235481262207e+01        1.596142649650574e+00
1.401148128509521e+01        1.235283851623535e+00
1.422060775756836e+01        1.002625107765198e+00
1.442973518371582e+01        8.823891282081604e-01
1.463886165618896e+01        8.997725248336792e-01
1.484798812866211e+01        8.822103738784790e-01
1.505711460113525e+01        1.779074192047119e+00
1.526624107360840e+01        9.445545077323914e-01
1.547536754608154e+01        9.951562285423279e-01
1.568449401855469e+01        9.846528768539429e-01
1.589362144470215e+01        9.776077866554260e-01
1.610274696350098e+01        9.926928281784058e-01
1.631187438964844e+01        1.029645442962646e+00
1.652099990844727e+01        9.832222461700439e-01
1.673012733459473e+01        9.742330908775330e-01
1.693925476074219e+01        1.003917932510376e+00
1.714838027954102e+01        1.030099630355835e+00
1.735750770568848e+01        9.609651565551758e-01
1.756663322448730e+01        9.228243827819824e-01
1.777576065063477e+01        9.433842301368713e-01
1.798488616943359e+01        9.649133086204529e-01
1.819401359558105e+01        9.607729911804199e-01
1.840314102172852e+01        1.016119241714478e+00
1.861226654052734e+01        9.901675581932068e-01
1.882139396667480e+01        1.044459342956543e+00
1.903051948547363e+01        1.044240593910217e+00
1.923964691162109e+01        1.129868268966675e+00
1.944877243041992e+01        1.010274052619934e+00
1.965789985656738e+01        1.004288792610168e+00
1.986702537536621e+01        1.024768710136414e+00
