# Structure factor computed by LiquidLib
# k                 S(k)
2.632331848144531e-01        2.126230672001839e-02
5.264663696289062e-01        1.296685170382261e-02
7.896995544433594e-01        5.966327153146267e-03
1.052932739257812e+00        1.116086170077324e-02
1.316165924072266e+00        7.513590157032013e-03
1.579399108886719e+00        8.861470036208630e-03
1.842632293701172e+00        1.184632815420628e-02
2.105865478515625e+00        2.294917404651642e-02
2.369098663330078e+00        3.304766863584518e-02
2.632331848144531e+00        7.124540954828262e-02
2.895565032958984e+00        6.873250007629395e-01
3.158798217773438e+00        3.538123369216919e+00
3.422031402587891e+00        2.886429727077484e-01
3.685264587402344e+00        2.434319853782654e-01
3.948497772216797e+00        1.227391511201859e-01
4.211730957031250e+00        1.126916706562042e-01
4.474964141845703e+00        1.128306537866592e-01
4.738197326660156e+00        1.470851153135300e-01
5.001430511474609e+00        2.026294916868210e-01
5.264663696289062e+00        3.479154348373413e+00
5.527896881103516e+00        5.738098144531250e+00
5.791130065917969e+00        9.675784111022949e-01
6.054363250732422e+00        8.416311740875244e-01
6.317596435546875e+00        8.091469407081604e-01
6.580829620361328e+00        5.310330986976624e-01
6.844062805175781e+00        3.010122776031494e-01
7.107295989990234e+00        3.580159544944763e-01
7.370529174804688e+00        8.270535469055176e+00
7.633762359619141e+00        7.355089783668518e-01
7.896995544433594e+00        7.017068862915039e-01
8.160228729248047e+00        1.560327053070068e+00
8.423461914062500e+00        5.900036096572876e-01
8.686695098876953e+00        5.315372467041016e+00
8.949928283691406e+00        7.010512948036194e-01
9.213161468505859e+00        5.807386636734009e-01
9.476394653320312e+00        1.695725321769714e+00
9.739627838134766e+00        5.604920983314514e-01
1.000286102294922e+01        5.975900292396545e-01
1.026609420776367e+01        6.311720013618469e-01
1.052932739257812e+01        1.652511596679688e+00
1.079256057739258e+01        9.128919243812561e-01
1.105579376220703e+01        1.623960852622986e+00
1.131902694702148e+01        2.427819728851318e+00
1.158226013183594e+01        8.300094604492188e-01
1.184549331665039e+01        1.155481696128845e+00
1.210872650146484e+01        2.360984802246094e+00
1.237195968627930e+01        8.998531699180603e-01
1.263519287109375e+01        6.792540073394775e+00
1.289842605590820e+01        8.102144002914429e-01
1.316165924072266e+01        8.584975600242615e-01
1.342489242553711e+01        1.817115068435669e+00
1.368812561035156e+01        1.200778722763062e+00
1.395135879516602e+01        1.080717325210571e+00
1.421459197998047e+01        1.019873976707458e+00
1.447782516479492e+01        9.753513336181641e-01
1.474105834960938e+01        9.923016428947449e-01
1.500429153442383e+01        8.833562135696411e-01
1.526752471923828e+01        9.058617353439331e-01
1.553075790405273e+01        9.989221096038818e-01
1.579399108886719e+01        1.038434028625488e+00
1.605722427368164e+01        1.139592528343201e+00
1.632045745849609e+01        1.009726405143738e+00
1.658369064331055e+01        1.027905941009521e+00
1.684692382812500e+01        9.259634971618652e+00
1.711015701293945e+01        9.826022982597351e-01
1.737339019775391e+01        1.037547826766968e+00
1.763662338256836e+01        1.054961323738098e+00
1.789985656738281e+01        1.021733522415161e+00
1.816308975219727e+01        1.043681144714355e+00
1.842632293701172e+01        9.373773932456970e-01
1.868955612182617e+01        9.927844405174255e-01
1.895278930664062e+01        1.048990488052368e+00
1.921602249145508e+01        1.037663817405701e+00
1.947925567626953e+01        1.009135842323303e+00
1.974248886108398e+01        1.000517129898071e+00
